dim,budget,cp,power,alpha,exact,within1,mean_regret,median_regret
20,100,0.01,1.0,0.0,49,50,4.071934310300757e-05,0.0
20,100,0.01,1.0,0.25,49,50,2.260933262558329e-05,0.0
20,100,0.01,1.0,0.5,47,48,0.00024759365437109973,0.0
20,100,0.01,1.0,1.0,40,41,0.0032848520512909936,0.0
20,100,0.01,1.5,0.0,48,48,8.86988069391429e-05,0.0
20,100,0.01,1.5,0.25,47,49,0.00014194288262953464,0.0
20,100,0.01,1.5,0.5,44,44,0.0004808772887202824,0.0
20,100,0.01,1.5,1.0,36,39,0.004247379813541709,0.0
20,100,0.01,2.0,0.0,45,47,0.0002073497204165707,0.0
20,100,0.01,2.0,0.25,48,49,0.0002520712874708081,0.0
20,100,0.01,2.0,0.5,46,46,0.00048204151529823795,0.0
20,100,0.01,2.0,1.0,34,41,0.003570144498260244,0.0
20,100,0.01,3.0,0.0,47,49,9.520193060814481e-05,0.0
20,100,0.01,3.0,0.25,45,46,0.00012874138861613225,0.0
20,100,0.01,3.0,0.5,42,43,0.0009663706539228068,0.0
20,100,0.01,3.0,1.0,33,33,0.005997232286607388,0.0
20,100,0.03,1.0,0.0,47,49,0.00017665343313750346,0.0
20,100,0.03,1.0,0.25,44,44,0.0007121830334741709,0.0
20,100,0.03,1.0,0.5,39,39,0.002321361119217988,0.0
20,100,0.03,1.0,1.0,19,19,0.03894371629227845,0.013557822628011942
20,100,0.03,1.5,0.0,42,44,0.0012090665238176199,0.0
20,100,0.03,1.5,0.25,39,40,0.0013486914443854184,0.0
20,100,0.03,1.5,0.5,35,36,0.0044158149535398926,0.0
20,100,0.03,1.5,1.0,25,28,0.024201298117365152,0.0009352724872592685
20,100,0.03,2.0,0.0,48,49,6.589569338501391e-05,0.0
20,100,0.03,2.0,0.25,39,41,0.0019292430482553615,0.0
20,100,0.03,2.0,0.5,35,39,0.004378049507747717,0.0
20,100,0.03,2.0,1.0,13,18,0.03919111942604611,0.01812435407860613
20,100,0.03,3.0,0.0,46,48,0.00033083177748789787,0.0
20,100,0.03,3.0,0.25,42,43,0.0017357376142513314,0.0
20,100,0.03,3.0,0.5,31,33,0.005938625450259436,0.0
20,100,0.03,3.0,1.0,12,17,0.043368354548060914,0.03970294457339557
20,100,0.05,1.0,0.0,46,46,0.0002719333567923187,0.0
20,100,0.05,1.0,0.25,44,44,0.000492637982146699,0.0
20,100,0.05,1.0,0.5,36,38,0.004512183249475743,0.0
20,100,0.05,1.0,1.0,19,19,0.045250547150235416,0.02688513448518129
