dim,budget,cp,power,alpha,exact,within1,mean_regret,median_regret
20,5000,0.01,1.0,0.0,189,192,0.00010091000554820799,0.0
20,5000,0.01,2.0,1.0,181,186,0.00010388898092886435,0.0
20,500,0.01,2.0,0.25,188,190,0.00014662053588946304,0.0
20,500,0.01,2.0,0.5,188,189,0.00019178899792387388,0.0
20,5000,0.05,1.0,1.0,189,192,0.00010091000554820799,0.0
20,5000,0.01,3.0,0.5,188,192,8.765008913714974e-05,0.0
100,250,0.05,3.0,0.25,173,177,8.402619189692517e-05,0.0
100,500,0.05,2.0,0.25,170,173,0.00030799113289009284,0.0
100,500,0.05,3.0,0.0,166,171,0.00012403803407015195,0.0
100,5000,0.01,1.5,0.0,153,159,0.00042039799880652954,0.0
100,1000,0.05,3.0,0.5,166,171,0.00012403803407015195,0.0
100,1000,0.05,1.5,0.25,169,173,0.00042865943260492987,0.0
50,250,0.01,2.0,0.5,167,180,0.00026857922645235797,0.0
50,5000,0.03,1.0,1.0,158,172,0.000310819941464358,0.0
50,250,0.01,1.5,0.25,168,181,0.00032534314079887204,0.0
50,100,0.03,3.0,0.25,168,174,0.0003212335554233968,0.0
50,5000,0.03,3.0,0.5,158,172,0.0002165162112981161,0.0
50,5000,0.03,1.5,0.5,165,178,0.00032534314079887204,0.0
