solver,problem,factor,default,tested,tested_scores,best,best_score,baseline_score
ADAM,SAN-1,r,30.0,"[15, 30, 60]","[32.2432746981033, 34.31382269512942, 36.37752191423343]",15.0,32.2432746981033,34.31382269512942
ADAM,SAN-1,beta_1,0.9,"[0.45, 0.9, 1.8]","[34.31382269512942, 34.31382269512942, inf]",0.45,34.31382269512942,34.31382269512942
ADAM,SAN-1,beta_2,0.999,"[0.4995, 0.999, 1.998]","[34.31382269512942, 34.31382269512942, inf]",0.4995,34.31382269512942,34.31382269512942
ADAM,SAN-1,alpha,0.5,"[0.25, 0.5, 1.0]","[35.343924992967096, 34.31382269512942, 32.26559966124216]",1.0,32.26559966124216,34.31382269512942
ADAM,NETWORK-1,r,30.0,"[15, 30, 60]","[76.55262616112776, 79.91155504363968, 91.96728296723037]",15.0,76.55262616112776,79.91155504363968
ADAM,NETWORK-1,beta_1,0.9,"[0.45, 0.9, 1.8]","[79.91155504363968, 79.91155504363968, inf]",0.45,79.91155504363968,79.91155504363968
ADAM,NETWORK-1,beta_2,0.999,"[0.4995, 0.999, 1.998]","[79.91155504363968, 79.91155504363968, inf]",0.4995,79.91155504363968,79.91155504363968
ADAM,NETWORK-1,alpha,0.5,"[0.25, 0.5, 1.0]","[79.91155504363968, 79.91155504363968, 79.91155504363968]",0.25,79.91155504363968,79.91155504363968
ADAM,ROSENBROCK-1,r,30.0,"[15, 30, 60]","[184.7708035165849, 741.885936607886, 5614.885936595445]",15.0,184.7708035165849,741.885936607886
ADAM,ROSENBROCK-1,beta_1,0.9,"[0.45, 0.9, 1.8]","[741.885936607886, 741.885936607886, inf]",0.45,741.885936607886,741.885936607886
ADAM,ROSENBROCK-1,beta_2,0.999,"[0.4995, 0.999, 1.998]","[741.885936607886, 741.885936607886, inf]",0.4995,741.885936607886,741.885936607886
ADAM,ROSENBROCK-1,alpha,0.5,"[0.25, 0.5, 1.0]","[2314.2296866142296, 741.885936607886, 400.8859365814488]",1.0,400.8859365814488,741.885936607886
ADAM,SSCONT-1,r,30.0,"[15, 30, 60]","[615.4222759183383, 616.1911827333046, 617.5977142908391]",15.0,615.4222759183383,616.1911827333046
ADAM,SSCONT-1,beta_1,0.9,"[0.45, 0.9, 1.8]","[616.6340910647173, 616.1911827333046, inf]",0.9,616.1911827333046,616.1911827333046
ADAM,SSCONT-1,beta_2,0.999,"[0.4995, 0.999, 1.998]","[615.9887359628834, 616.1911827333046, inf]",0.4995,615.9887359628834,616.1911827333046
ADAM,SSCONT-1,alpha,0.5,"[0.25, 0.5, 1.0]","[617.4137259099916, 616.1911827333046, 614.5021649180026]",1.0,614.5021649180026,616.1911827333046
ADAM,DYNAMNEWS-1,r,30.0,"[15, 30, 60]","[169.99999989999984, 144.99999995, 120.0]",60.0,120.0,144.99999995
ADAM,DYNAMNEWS-1,beta_1,0.9,"[0.45, 0.9, 1.8]","[144.99999995, 144.99999995, inf]",0.45,144.99999995,144.99999995
ADAM,DYNAMNEWS-1,beta_2,0.999,"[0.4995, 0.999, 1.998]","[144.99999995, 144.99999995, inf]",0.4995,144.99999995,144.99999995
ADAM,DYNAMNEWS-1,alpha,0.5,"[0.25, 0.5, 1.0]","[132.499999975, 144.99999995, 169.999999]",0.25,132.499999975,144.99999995
ASTRODF,SAN-1,eta_1,0.1,"[0.05, 0.1, 0.2]","[27.31440783839405, 27.31440783839405, 27.31440783839405]",0.05,27.31440783839405,27.31440783839405
ASTRODF,SAN-1,eta_2,0.8,"[0.4, 0.8, 1.6]","[27.31440783839405, 27.31440783839405, 28.74016975353987]",0.4,27.31440783839405,27.31440783839405
ASTRODF,SAN-1,gamma_1,2.5,"[1.25, 2.5, 5.0]","[27.726737708886166, 27.31440783839405, 22.932438429999067]",5.0,22.932438429999067,27.31440783839405
ASTRODF,SAN-1,gamma_2,0.5,"[0.25, 0.5, 1.0]","[23.3276916264668, 27.31440783839405, inf]",0.25,23.3276916264668,27.31440783839405
ASTRODF,SAN-1,lambda_min,5.0,"[2, 5, 10]","[inf, 27.31440783839405, 29.631955993246205]",5.0,27.31440783839405,27.31440783839405
ASTRODF,SAN-1,ps_sufficient_reduction,0.1,"[0.05, 0.1, 0.2]","[27.31440783839405, 27.31440783839405, 27.31440783839405]",0.05,27.31440783839405,27.31440783839405
ASTRODF,NETWORK-1,eta_1,0.1,"[0.05, 0.1, 0.2]","[66.87374170337236, 66.87374170337236, 66.87374170337236]",0.05,66.87374170337236,66.87374170337236
ASTRODF,NETWORK-1,eta_2,0.8,"[0.4, 0.8, 1.6]","[68.27431587030802, 66.87374170337236, 67.5892502719698]",0.8,66.87374170337236,66.87374170337236
