solver,problem,factor,default,tested,tested_scores,best,best_score,baseline_score
ADAM,SAN-1,r,30.0,"[12, 24, 48]","[45.181125027311694, 48.36242489248785, 50.758904738113465]",12.0,45.181125027311694,48.2338420742567
ADAM,SAN-1,beta_1,0.9,"[0.5, 0.54, 0.9]","[48.2338420742567, 48.2338420742567, 48.2338420742567]",0.5,48.2338420742567,48.2338420742567
ADAM,SAN-1,beta_2,0.999,"[0.4995, 0.999, 0.9999]","[48.2338420742567, 48.2338420742567, 48.2338420742567]",0.4995,48.2338420742567,48.2338420742567
ADAM,SAN-1,alpha,0.5,"[0.1, 0.3, 0.7]","[50.25279986375843, 49.242188251443366, 47.2279390636436]",0.7,47.2279390636436,48.2338420742567
ADAM,NETWORK-1,r,30.0,"[12, 24, 48]","[74.80928507386977, 74.08531142761562, 104.51080661025487]",24.0,74.08531142761562,111.5197857934945
ADAM,NETWORK-1,beta_1,0.9,"[0.5, 0.54, 0.9]","[111.5197857934945, 111.5197857934945, 111.5197857934945]",0.5,111.5197857934945,111.5197857934945
ADAM,NETWORK-1,beta_2,0.999,"[0.4995, 0.999, 0.9999]","[111.5197857934945, 111.5197857934945, 111.5197857934945]",0.4995,111.5197857934945,111.5197857934945
ADAM,NETWORK-1,alpha,0.5,"[0.1, 0.3, 0.7]","[111.5197857934945, 111.5197857934945, 111.5197857934945]",0.1,111.5197857934945,111.5197857934945
ADAM,ROSENBROCK-1,r,30.0,"[12, 24, 48]","[184.8308592817722, 741.9459923730734, 5614.945992360633]",12.0,184.8308592817722,741.9459923730734
ADAM,ROSENBROCK-1,beta_1,0.9,"[0.5, 0.54, 0.9]","[741.9459923730734, 741.9459923730735, 741.9459923730734]",0.5,741.9459923730734,741.9459923730734
ADAM,ROSENBROCK-1,beta_2,0.999,"[0.4995, 0.999, 0.9999]","[741.9459923730734, 741.9459923730734, 741.9459923730734]",0.4995,741.9459923730734,741.9459923730734
ADAM,ROSENBROCK-1,alpha,0.5,"[0.1, 0.3, 0.7]","[4041.6259923723765, 1883.5459923795374, 301.9459923617732]",0.7,301.9459923617732,741.9459923730734
ADAM,SSCONT-1,r,30.0,"[12, 24, 48]","[614.7651477010878, 616.7465905239014, 618.2252201439461]",12.0,614.7651477010878,617.1768067197886
ADAM,SSCONT-1,beta_1,0.9,"[0.5, 0.54, 0.9]","[617.2442987290428, 617.2407880614282, 617.1768067197886]",0.9,617.1768067197886,617.1768067197886
ADAM,SSCONT-1,beta_2,0.999,"[0.4995, 0.999, 0.9999]","[617.5107969038772, 617.1768067197886, 617.1768333872362]",0.999,617.1768067197886,617.1768067197886
ADAM,SSCONT-1,alpha,0.5,"[0.1, 0.3, 0.7]","[618.4107239756087, 617.993972617744, 616.9174159877432]",0.7,616.9174159877432,617.1768067197886
ADAM,DYNAMNEWS-1,r,30.0,"[12, 24, 48]","[169.99999989999984, 144.99999995, 120.0]",48.0,120.0,144.99999995
ADAM,DYNAMNEWS-1,beta_1,0.9,"[0.5, 0.54, 0.9]","[144.99999995, 144.99999995, 144.99999995]",0.5,144.99999995,144.99999995
ADAM,DYNAMNEWS-1,beta_2,0.999,"[0.4995, 0.999, 0.9999]","[144.99999995, 144.99999995, 144.99999995]",0.4995,144.99999995,144.99999995
ADAM,DYNAMNEWS-1,alpha,0.5,"[0.1, 0.3, 0.7]","[124.99999999, 134.99999997, 154.99999992999997]",0.1,124.99999999,144.99999995
ASTRODF,SAN-1,eta_1,0.1,"[0.01, 0.05, 0.08]","[40.32333333724065, 40.32333333724065, 40.32333333724065]",0.01,40.32333333724065,40.32333333724065
ASTRODF,SAN-1,eta_2,0.8,"[0.2, 0.5, 0.8]","[40.32333333724065, 40.32333333724065, 40.32333333724065]",0.2,40.32333333724065,40.32333333724065
ASTRODF,SAN-1,gamma_1,2.5,"[1.0, 2.0, 3.5]","[inf, 36.32407083462624, 39.757268602822414]",2.0,36.32407083462624,40.32333333724065
ASTRODF,SAN-1,gamma_2,0.5,"[0.2, 0.3, 0.7]","[39.70830979597705, 39.47281932823546, 39.97645521200345]",0.3,39.47281932823546,40.32333333724065
ASTRODF,SAN-1,lambda_min,5.0,"[4, 6, 8]","[40.32333333724065, 41.472766354541065, 39.396678845103985]",8.0,39.396678845103985,40.32333333724065
ASTRODF,SAN-1,ps_sufficient_reduction,0.1,"[0.01, 0.05, 0.1]","[41.027682155699985, 39.85044843638905, 40.32333333724065]",0.05,39.85044843638905,40.32333333724065
ASTRODF,NETWORK-1,eta_1,0.1,"[0.01, 0.05, 0.08]","[78.70203517845604, 72.63369381468232, 70.70724604235505]",0.08,70.70724604235505,70.73692041333624
