solver,problem,dim,factor,default,tested,tested_scores,best,best_score,baseline_score
ADAM,SAN-1,100,r,30.0,"[12, 24, 48]","[129.00309372964512, 139.44731386576206, 145.9114108888652]",12.0,129.00309372964512,146.03974338239797
ADAM,SAN-1,100,beta_1,0.9,"[0.5, 0.54, 0.9]","[146.03974338239797, 146.03974338239797, 146.03974338239797]",0.5,146.03974338239797,146.03974338239797
ADAM,SAN-1,100,beta_2,0.999,"[0.4995, 0.999, 0.9999]","[146.03974338239797, 146.03974338239797, 146.03974338239797]",0.4995,146.03974338239797,146.03974338239797
ADAM,SAN-1,100,alpha,0.5,"[0.1, 0.3, 0.7]","[152.23039229839128, 149.0691352132473, 143.07321575073746]",0.7,143.07321575073746,146.03974338239797
ADAM,NETWORK-1,100,r,30.0,"[12, 24, 48]","[1174.1283218043454, 1162.918222246486, 1270.2416905736159]",24.0,1162.918222246486,1221.7567207995723
ADAM,NETWORK-1,100,beta_1,0.9,"[0.5, 0.54, 0.9]","[1221.7567207995723, 1221.7567207995723, 1221.7567207995723]",0.5,1221.7567207995723,1221.7567207995723
ADAM,NETWORK-1,100,beta_2,0.999,"[0.4995, 0.999, 0.9999]","[1221.7567207995723, 1221.7567207995723, 1221.7567207995723]",0.4995,1221.7567207995723,1221.7567207995723
ADAM,NETWORK-1,100,alpha,0.5,"[0.1, 0.3, 0.7]","[1221.7567207995723, 1221.7567207995723, 1221.7567207995723]",0.1,1221.7567207995723,1221.7567207995723
ADAM,ROSENBROCK-1,100,r,30.0,"[12, 24, 48]","[228.37733355399965, 228.37733355399965, 5544.042813855738]",12.0,228.37733355399965,5544.042813855738
ADAM,ROSENBROCK-1,100,beta_1,0.9,"[0.5, 0.54, 0.9]","[5544.042813855738, 5544.042813855738, 5544.042813855738]",0.5,5544.042813855738,5544.042813855738
ADAM,ROSENBROCK-1,100,beta_2,0.999,"[0.4995, 0.999, 0.9999]","[5544.042813855738, 5544.042813855738, 5544.042813855738]",0.4995,5544.042813855738,5544.042813855738
